symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,Reviews,Sentiment
0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,10.2173913,Low,0,1,"Just bought new BRV 2021 vtec S. It's good family car in its class, with good space for 5 adults and 2 kids (last row seat). Unfortunately some downs I think are, very low quality tyres (general tyres of cheapest range), problem in ""fit"" & ""finish"" of car. Horn of car is more Lowder inside as compare to outside (an amusement for my kids every time I honk), very low quality plastics specially central arm rest quality is very cheap. Caben light both at driverside (map light) and main cabin are from 1973 version. Door handles on inside should be mat black instead of shimmering silver plastic!!, quality of floor mat given with factory fitting is worst (just like paper thin towels), bonnet cover from engine side (nammda) need to be installed from own pocket. DRLs bearly visible in day. Suspension is harder than city and felt each pebble and every pothole in road while driving!!. Engine is delayed acceleration even with high octane!!. More ",Positive
0,188,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.19047619,Medium,0,1,"Honda City has its own pros and cons. Personally, I am not impressed by the built quality of this car. I have kept it with immense care but still after 3 years and approx 70k milleage, there is a strange noise which can be heard from the engine while the car is accelerated. Even Honda itself is not able to determine this issue. Apart from this the dashboard of the car is loosing its paint gradually and it seems like the dashboard's original color was beige and the company spray painted the dashboard black. The performance and response of the engine is fine. But still even the top of the line aspire variant has no airbags and basic features such as traction control, automatic climate control, hill start assist, steering switches. I personally will not recommend this car to anyone as it priced approx 30 lacs. More ",Positive
0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,11.19047619,Medium,0,1,Exterior : Personally I don't like the back shape a lot (seems outdated) The front shape however is really good. Drive : I think this car drives really well specially when compared to other CSUV's which almost fall in the same category. Very good noise deadening and extreme comfort. It also comes with a lot of options specially considering that it is a decade old car. ,Positive
1,122,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,11.75,Medium,0,1,Best exterior and interior excellent fuel economy and performance is best in auto gear shift this car is best as its engine is alsa best anyway car is best for buy everyone should try this one its mileage is excellent some times rises to 36.8km/l In simple words car is best,Neutral
0,122,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,14.6875,High,0,1,"I have just sold my MOVE 2014 Model, now I have in my mind to purchase 1000CC Car like, WagonR/Cultus etc, but when I saw the Suzuki Wagon R FZ (Hybrid) Japan import 2020, I really surprised to see this car. it has great specifications and features now I am in conflict should i got with Locally WagonR/Cultus or Japani WagonR FZ 2020 import. i would appreciate your suggestion and comments in this regards ",Positive
0,122,bmw,std,two,sedan,rwd,front,103.5,0.931283037,0.943055556,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,14.6875,High,0,1,Although city is good car and value for money but its fuel average is disturbing it gives 7-8 in city on average foot and 12-14 on long if under 120 but it gives amazing performance amazing pickup and power of car gives you joy this car is for those who don't care about fuel average. My experience with city is too old had the same model in 2017 and got another one same model same specs in 2019 satisfied by its performance. It goes to 160-170 easily without any problem. Perfect car but fuel average is not so good.,Positive
0,122,bmw,std,four,sedan,rwd,front,110,0.946660259,0.984722222,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,15.66666667,High,0,1,cars camfort is good but car looks is not so good but car perfomence is optimal it is not value for money in 2021 changan alsvin and toyota yaris both are batter than honda city in 2019 corolla is a option but prefer honda city than gli \ xli because 1.3 corolla is under pawor and its avrage is bad than honda city honda city is nice car,Positive
2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.678039404,0.8375,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,5,Low,0,1,"Very decent design best drive best suspension smooth drive.. great patrol average.. better then corolla and city. Feature like hill assist, traction control, vahicle stability control and 2 air bags are best features for safety for u and your family.. best car of toyota ever..just position of arm rest is odd. Interior is better then city and corolla.. ",Neutral
1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.749159058,0.883333333,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,6.184210526,Low,0,1,"Excellent exterior & interior . With a respectable outlook I have driven this car from Lahore to Karachi and the performance is outstanding. Alhamdolillah very much satisfied. The car A/C is too good, the handling is reasonable, but at high speed extra cautious driving attitude should be adopted. Perfect family car. 25 l/km on highway and 18 to 19 in city. Value to money.",Positive
0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.763094666,0.883333333,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,6.184210526,Low,0,1,I am owning Honda brv ivtec s varient Before this i was owning honda civic 2018 The comfort of brv is not good the suspension is hard the seats are also very hard the fuel average is around 10 km/l in city on long it gives me 15 km/l which is good Exterior is good but the interior is of cheap plastic but considering to other 7 seater car the price is good the toyota rush 7seater is around 55 lacs Fortuner is also around 90 This car is good in its price and features But needs improvements,Negative
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,6.351351351,Low,0,1,"Exterior is very beautiful looks like toyota vits. interior is also very very beautiful and dashing, seats are very comfortable, dashboard is very beautiful, a/c works well, car pick is well fuel average is very well. well car for family use power windows, alloy wheels, power mirrors, rear camera and 4 seat belts installed. best car for 800cc.",Positive
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,7.580645161,Low,0,1,style is good comfort is very poor compared to Japanese cars especially back seats very bad for long routes built qualiy is also poor as compared to previous models driver view is very poor having big side pillars and big dashboard provides very bad visibility breaks need improvement as of today 2021 its not value for money as prices are gone to high engine performance is good and engine is very reliable ,Neutral
1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,9.791666667,Medium,0,1,"Prince pearl is a very beautiful car,i would say excellent car with awesome features.i bought this car and i am totally satisfied.interior and exterior of car is also very good.power windows power sterring,child lock,back camera,4 seats belt.but little bit improvements are required in engine and its finishing.",Positive
1,148,dodge,std,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,7.580645161,Low,0,1,"The best crossover in Pakistan hands down. The build quality,safety features,the drive, features,materials used are the best found in any car sold in pakistan. Quality on par with Germans. The drive,soundless even at highspeeds response from the 1.5T was great,not including the turbo lag which is normal for turbocharged cars. The pick-up is amazing. 0-60 within 10 secs. The interior felt exquisite and ""quality"" The Radar cruise control with MG pilot makes it pretty much autonomous. Now onto a few cons of the HS; Upon startup,there are too many dings and dongs notifying the driver about the assists on, which can at times get annoying. Another downside is the laggy-ness of the central screen which can get on the nerves as everything is controlled from the screen like AC,Drive assists etc. And now in my opinion,these driver assists are nothing but a gimmick for pakistani roads but are a good party piece.  More ",Positive
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,7.580645161,Low,0,1,"Great value for money. Its feature packed but with some minor issues which company has rectified for users like dash board noise and door stiffness. Build quality is very solid. I switched from mehran and had mediocre expectations. this car is the best in the price range and provides features which Alto and even cultus dont have and features a modern and classy look. Fuel average 13-15, which is fine by me, i prefer driving a feature packed car than driving a tin box for 1-2km/liter better average. It all comes down to personal preference. ",Positive
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7.580645161,Low,0,1,changan alsvin 1.5 lumiere's body is a bit light weight and car is not suitable for bumpy roads. fuel economy is 12kmpl in city and 14kmpl on motorway. It is a good mid sized sedan in a low price category. the top speed of this car is 174km/hr which i tested  ,Positive
1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.755886593,0.886111111,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,9.791666667,Medium,0,1,Always best for 1000cc catagory even superior than latest shape. its offer comfort along with style in affordable price. Though logo of Suzuki is not so precious but iverall performance Good . Its interior is also good ... I suggest to all if buy convert it in power steering which not cost so much but give you liberty from though handeling of steering ,Neutral
-1,110,dodge,std,four,wagon,fwd,front,103.3,0.839019702,0.897222222,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,9.791666667,Low,0,1,"interior is international level the cars exterior is very stylish and modern good car for 5to7 people family or people who travel i went to kalam on this car and the drive is very comfy best compact sedan ever made in pakistan in my opinion it beats yaris,city and vitz its interior and exterior is better than civic i have owned city 2019,yaris 2020,and toyyota corolla 2016 and civic 2017 bu this is the best one ",Positive
3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,12.36842105,Medium,0,1,Exterior is good. Too much functions. But this is samll then the corolla but better option then the honda city if you have small family.honda city ka functions kam hai iss sa aur comfort b acha hai yaris ka bs dikhnay ma choti hai as sach hai ni. Fuel quality is much much better.top of the line model have too much functions bs crusie control ni hai lakin agr ap ko new car ni chahiye tu ap ka pass japanese cars ka b option hai my opinion is japanese car go for them baki ap ki marzi,Negative
2,137,honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,4.795918367,Low,0,1,exterior of car is beautiful and interior of car is also great but this car is not reliable I bought this car in may 2020 and till now my car has gone to dealership every month and on 9 December my cars wiring caught fire I took my car to the dealership and they returned me my car on 10 January and I am selling my car because company is not helpful I have driven Suzuki mehran I hitted that car and destroyed the front of it and Suzuki fixed my car in a week and don't say they should also fix it in a week but don't take one and a half month please don't buy pearl its not good you will regret it More ,Neutral
2,137,honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,7.580645161,Low,0,1,best car of 2020/21 . interior and exterior is outstanding.comfort and spacious level is very good.fuel efficiency is very economical.driving is very smooth and comfortable. i am fully satisfied regarding this vehicle. but our companies meet the international standards of quality and necessary safety of the buyers. our government compelled the sellers to attain the standards safety and comfort of the buyers.,Negative
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,6.184210526,Low,0,1,"exterior is gud and interior is apparently gud but quality is low, dashboard has a very bad noise and engine noise is also very uncomfortable. parts are of very low quality, fuel avg is really very bad. steering wheel have vibration engine also vibrates.. bumpy ride zero comfort.",Negative
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,7.833333333,Low,0,1,"DFSK glory 580 pro Features are much better than sportage or tucson best features best suspension ....... I talk system , cruise control,leather seats,turning light sensors, panoramic sunroof, value for money best 7 seater car best SUV HIGHLY RECOMMENDED. ",Neutral
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,7.833333333,Low,0,1,"loving the car great fuel average lots of functions smooth ride way better then vezel cant find any better car in this range cruise paddle shifter 17"" alloy great milage gives me 16+ looks very sporty better then honda civic x local toyota loq quality cars",Positive
0,110,honda,std,four,sedan,fwd,front,96.5,0.785199423,0.888888889,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,7.833333333,Low,0,1,Excellent value for your money. The quality of the SUV is amazing. It provides many features including italk. I would highly recommend this vehicle. The price of this SUV is very reasonable compared to others SUVs in the market. I love that it has 7 seats so you can fit in larger family member.,Positive
0,78,honda,std,four,wagon,fwd,front,96.5,0.754925517,0.8875,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,7.833333333,Low,0,1,BRV is giving fuel average of 10+in city with dual AC and around 12km on motorways with speed of 120. The average remains 12+ if the speed is kept around 90. Hence it is economical 7seater car.I visited multiple times from Islamabad to Lahore even with 8 people and the average is obtained even better than the mentioned above. ,Positive
0,106,honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,8.703703704,Low,0,1,Built quality is not every good but exterior is beautiful Interior is extremely spacious. It has the function of eco idle which is very useful especially in Lahore. Fuel economy of this car is best. It gives us 15 to 16 km average with Ac and 17 to 18 km without Ac. I am happy with this car. I recommend it to people who want to buy a good car within 14 to 15 lac.,Neutral
0,106,honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,8.703703704,Low,0,1,they could have made the exterior of this car more stylish and sturdy because of the price slab it falls in is near premium.  interior of the car is good as compared to previous versions and mehran who it has replaced.  Avg is AMAZING. it is a perfect budget car for traveling in city. easy to maneuver and comfortable drive.  I would say the least that it is a premium plus budget car that has replaced the decade old mehran and alto.  P.S: Suzuki please improve the built quality of your cars if you want to compete with toyota and honda in prices.  More ,Positive
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,8.703703704,Low,0,1," its very excellent car it gives mileage of 9 in city and 12 in highway,its comfort is way to better and its metal is also strong because despite being hit many times by vehicles no big dent came but only 1 back light broked.its comfort level is way too good it can easily carry 6 peoples with their bags",Positive
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.868055556,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,8.703703704,Low,0,1,Very bad car.gave me 13.9 average in city with ac and gave me 15 average on motorway with ac.would prefer wagon r and picanto.build quality issue very bad suspension. This car is very bad. Very much noises from unknown parts.Such a bad car.And light broke due to force of air when i was driving it on 145 its front right light broke due to air,Neutral
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,9.791666667,Low,0,1,"Amazing Exterior design, Plus I have converted the features of my Santro Club to Santro Executive. It has really nice aerodynamics on high speed as well. The car goes very stable on motorway as well.  The interior is also decent and of good quality. The interior is still shiny like a new car. I have added few add-ons in the interior to make it stand different.  Fuel Economy with-in city is around 12-13 (with AC) and 15-16 (without AC)  I would love to keep this car for a long term since it has all the features that we can expect in this price range. Infact, this is my 2nd Santro  More ",Positive
1,107,honda,std,two,sedan,fwd,front,96.5,0.812590101,0.916666667,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,9.4,Low,0,1,This car is amazing.only one issue in build quality.cultus compared is very bad.Wagon r speed I drove it 180 with ac.This car is excellent.i would prefer wagon r . I have raced it with cultus both car have same speed.wagon r have me 17 kilometer average in city and 20 kilometer on motorway with ac,Positive
0,122,isuzu,std,four,sedan,rwd,front,94.3,0.820278712,0.858333333,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,9.791666667,Low,0,1," Poor Suspension Sound comes from unknown body pieces. Interior Plastic is very cheap. It produces irritating sounds on bumpy roads. Body material is also very low quality. Dent in the fender due to a tape ball throws Paint quality is worse, Paint started to fade automatically. Just over 37000Km repaired its KANGI, Chimtay etc.",Positive
2,122,isuzu,std,two,hatchback,rwd,front,96,0.829408938,0.905555556,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,9.791666667,Low,0,1,"I am driving this car from last 10 months, What I get after driving this vehicle. It is totally an awesome addition to Pakistan auto market. Kia Picanto build quality is really strong if compare with Suzuki and its quick pick + performance gives you an actual driving comfort. Regarding its fuel consumption then one thing I want to share, Picanto measures the average in liter/100km that gives you accurate reading on longer commute rather than on the smaller short distances.  Most of the time, I reset the meter before starting my longer commute approximately of 10, 15 or 20 kms within city then It gives me an average of 16-18 km/liter and on motorway when I reset the meter before commute then it gives me 18 - 20km/liter.  In summer, in AC works really awesome. I drove corolla and after driving this 1000cc machine, I really not get tired by its drive.  and please do not compare it with cultus in terms of quality, pick and performance. More ",Positive
0,145,jaguar,std,four,sedan,rwd,front,113,0.959154253,0.966666667,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,15.66666667,High,0,1,Marvellous designed vehicle Interior is fine Spacious and comfortable ride Good set of features Good pickup Suspension is good Seats are comfortable as comoared to local manufactured cars Far Better than Civic or Grande in this price range Everything is just perfect,Neutral
0,122,jaguar,std,four,sedan,rwd,front,113,0.959154253,0.966666667,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,15.66666667,High,0,1,"I am a proud owner of a 2008 Honda City. and I would love to give a review of my experience. Exterior looks are not impressive but if compared with its previous model, the overall look was much improved. Interior gives a pleasing experience because of 2 tone color scheme of beige and brown. Interior is capacious with multiple storage spaces which gives ample room for storage. Fuel Economy is a plus for specially this generation. The I-DSi engine technology was specifically designed for giving impressive figures. Mine gives around 14-15 kmpl in city and 17-18 on motorway. Build quality is much better as compared to new models, which is the reason why it has a very compact cabin with excellent sound proofing and makes a quiet cabin with no sounds of surroundings. Overall its a perfect family car and I am satisfied with it.  More ",Neutral
0,122,jaguar,std,two,sedan,rwd,front,102,0.921191735,0.980555556,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,18.07692308,,0,1,This is really excellent car. I love the drive of this car. It gives me an average of 11 km/litre in city with Ac which is average but not that bad considering the drive and other parameters. Overall awesome experience. This is really excellent car. I love the drive of this car. It gives me an average of 11 km/litre in city with Ac which is average but not that bad considering the drive and other parameters. Overall awesome experience.  ,Negative
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,7.833333333,Low,0,1,"We are using a corolla Gli 2012 model since 8 years as we bought it new in 2012.I would say this car is still an excellent option for people who have a limited investment.I mean the car's looks,style,build quality is way better.Outstanding extremely soft suspension,excellent fuel average very smooth drive and overall a decent car ",Negative
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,7.580645161,Low,0,1,"Corolla grande is very reliable and durable car. it's suspension is excellent, made for Pakistan secondly Engine performance is also impressive. Handling is good, Fuel efficiency is good with low RPM. imported tyres with 16"" rims just changed the game. ",Negative
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,7.580645161,Low,0,1,exterior of the car is nice and stylish interior has inferior quality plastic fuel economy is nice considering 7-seater car car has very hard seats and stiff suspension no comfort provided in brv even mehran has better suspension than brv There is no sound proofing in this car it feels like you're sitting in a rickshaw I suggest you to buy Honda freed in this price range If you still want to buy it after reading this Then buy it at your own risk,Negative
1,113,mazda,std,four,sedan,fwd,front,93.1,0.801537722,0.891666667,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,7.580645161,Low,0,1,overall the best car . In this price brcaket i would say that its the best car . Its handling and performance are the best . it gives 9-10 km/l average in city which is i would say is very well .  If you buy a corolla or Civic it may dissapoint you if you compare it with Mark X .  It can go 0-180 in mininum 10 s . ,Negative
1,113,mazda,std,four,sedan,fwd,front,93.1,0.801537722,0.891666667,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,7.580645161,Low,0,1,Untouched no dent no paint only bumper color for fresh look otherwise guarantee Every thing in genuine condition need to sell car I want to seal my x corolla 2005 registered 2012 Islamabad number Engine is OK no working just driving Engine oil change on 4 _11_2020 ,Neutral
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,49.6,2380,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,10945,13.82352941,Low,0,1,"Toyota Corolla Grande' November 2020. Starting from exterior, good attention is given to the finish and quality assurance according to our local standards. Interior, considering the features of course has more features and options than its competitor including the head unit.  Issues: open any window a little bit and the air comes through the switches in the doors. Glove box light missing, which will be addressed by the warranty. Rear cup holder cover in the arm rest has a deep scratch. Not sure if it will be addressed as i didnt notice while taking the delivery. I still have to figure out if the front lights adjust themselves and moves as per the quoted feature. Seats are extra hard not comfortable.  Handling is very good. Fuel economy is pretty nice.  Final word: value for money 39 lacs... would not agree much. But of course a better deal in comparison to the competitor. I am satified from this aspect. More ",Positive
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,49.6,2380,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,11845,13.82352941,Low,0,1,"Good exterior. Fuel economy around 10-12km per liter depending on the driving foot. I drove it up to 150km speed. Comes with 14 inch standard iron tyres.  Pros: > Dual ACs are very good.  > Very spacious. Seats are also good. Interior is a basic one. As compared to Suzuki Bolan, its a good replacement.  > With fog lights  Cons: > Cabin noise is a main issue. You will not feel comfortable due to cabin noise.  > Radiator consumes a lot of water on a daily basis.  > Indicators works opposite as compared to the RHS driving. Same goes with the controls like fan, AC, vents...  > After some time, you will see that Petrol vent will not open.  > You will also feel some additional noise after a milage of 3000 to 4000 km. However, you can get it rectified from the showroom Free of cost.  > Due to height, there are some stability issues while driving at the motorway.  > Tyres are not of good quality. A bit of pressurized driving may result in burst of tyres.  More ",Neutral
